#OTU_IDs	trait1
Bogoriella_caseilytica-_-Y09911--_HIK_0088_T	27.0
Oxalicibacterium_solurbis-_-AB681897--_NBRC_102665_T	29.0
Thalassotalea_algicola-_-MN822801--_M1531T	10.0
Streptomyces_rutgersensis-_-AB184170--_NBRC_12819_T	25.0
Nocardia_elegans-_-AJ854057--_IMMIB_N-402_T	27.0
Nocardia_artemisiae-_-GU367157--_YIM_65623_T	25.0
Myroides_ceti-_-AM292800--_454-2_T	20.0
Gloeomargarita_lithophora-_-CP017675--_D10_T	44.0
g__207244	34.0
Micromonospora_echinaurantiaca-_-X92618--_DSM_43904_T	25.0
Sunxiuqinia_rutila-_-AB851476--_HG677_T	28.0
g__2894767	21.0
g__2894762	32.0
g__2820419	26.0
Litoreibacter_halocynthiae-_-JX644172--_P-MA1-7_T	9.0
Hymenobacter_defluvii-_-KY883691--_POA9_T	29.0
Coraliomargarita_akajimensis-_-CP001998--_DSM_45221_T	22.0
Qipengyuania_sphaerica-_-MZ749498--_GH29T	27.0
Burkholderia_ubonensis-_-AB030584--_GTC-P3-415_T	30.0
Methanotorris_formicicus-_-AGJL01000032--_Mc-S-70_T	76.0
Corallococcus_coralloides-_-AJ811588--_DSM_2259_T	27.0
Chitinophaga_costaii-_-KC922450--_A37T2_T	21.0
Belnapia_moabensis-_-AJ871428--_CP2C_T	27.0
Komagataeibacter_hansenii-_-X75620--_NCIB8746-_LMG1527_T	28.0
Enterocloster_bolteae-_-AJ508452--_16351_T	31.0
Janibacter_hoylei-_-FR749912--_DSM_21601_T	26.0
Dietzia_aurantiaca-_-FR821260--_CCUG_35676_T	28.0
Flavobacterium_lacisediminis-_-OP422636--_TH16-21T	18.0
Lysobacter_erysipheiresistens-_-KT001243--_RS-LYSO-3_T	22.0
Dickeya_poaceiphila-_-MT226771--_NCPPB-569_T	24.0
Paraburkholderia_pallidirosea-_-KP938221--_DHOK13_T	28.0
Kaistella_daneshvariae-_-CP034158--_H3001_T	28.0
Paenibacillus_agarexedens-_-AJ345020--_DSM_1327_T	29.0
